Restaurant Id,Restaurant Name,Country,City,User Rating Votes,User Aggregate Rating,Cuisines
17983797,Dada Boudi Restaurant,Kolkata,Kolkata,1993,4.3,"Mughlai, North Indian, Chinese"
18538536,Scrapyard,Kolkata,Kolkata,1260,4.2,"North Indian, Chinese, Continental"
25570,Barbeque Nation,Kolkata,Kolkata,4597,4.8,"North Indian, Chinese, Kebab, BBQ"
18354569,Tram Deepo,Kolkata,Kolkata,1895,4.4,"Continental, Chinese, Fast Food, Finger Food, North Indian, Mexican"
18259462,Ocean Grill,Kolkata,Kolkata,2318,4.3,"Continental, Seafood, North Indian, Asian"
18761167,Echoes Kolkata,Kolkata,Kolkata,456,4.8,"North Indian, Continental, Chinese, Italian, American"
18751849,Five Mad Men,Kolkata,Kolkata,1465,4.3,"American, Chinese, Continental, North Indian"
20747,India Restaurant,Kolkata,Kolkata,3909,4.5,"Biryani, Mughlai"
18461760,Kankurgachi Dhaba,Kolkata,Kolkata,700,3.9,"North Indian, Biryani, Chinese"
20404,Peter Cat,Kolkata,Kolkata,11476,4.2,"Continental, North Indian"
18017615,What's Up,Kolkata,Kolkata,4162,4.4,"Chinese, Continental, Italian, Kebab"
18265479,BJs Sports Restrau Cum Lounge,Kolkata,Kolkata,1405,4.7,"Cafe, North Indian"
18377098,CALCUTTA 64,Kolkata,Kolkata,2134,4.4,"Italian, Continental, Mexican"
18377112,Nawwarah Fine Dine & Lounge,Kolkata,Kolkata,1993,4.3,"North Indian, Chinese"
18610904,The Fatty Bao,Kolkata,Kolkata,884,4.6,"Japanese, Sushi, Asian"
18711365,The Saffron Tree,Kolkata,Kolkata,1274,4.8,"Mughlai, Continental, Biryani"
18392725,Tamasha,Mumbai,Mumbai,4553,4.6,"Finger Food, Continental"
18701052,The Fusion Kitchen,Mumbai,Mumbai,2723,4.7,"Chinese, Continental, European, North Indian, Italian, Mexican, Pizza"
18548172,Hitchki,Mumbai,Mumbai,3418,4.8,"Modern Indian, North Indian, Chinese, Momos, Biryani, Continental, American, Fast Food"
18591040,Hitchki,Mumbai,Mumbai,3524,4.9,"Modern Indian, North Indian, Chinese, Momos, Biryani, Continental, American, Fast Food"
19008239,HAS South Bombay,Mumbai,Mumbai,475,4.2,South Indian
18392711,Lord Of The Drinks,Mumbai,Mumbai,2604,4.6,"Finger Food, Continental, European, Chinese, North Indian, Italian"
18616378,Lord of the Drinks,Mumbai,Mumbai,2362,4.8,"Finger Food, Continental, European, Chinese, North Indian, Italian"
